AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DATE,WEEK,DEPARTURE_DELAY,TAXI_IN,TAXI_OUT,WHEELS_OFF,SCHEDULED_DEPARTURE,DEPARTURE_TIME
WN,MDW,GSP,04-03-2015,Wednesday,-5,3,6,811,810,805
WN,ATL,DTW,05-01-2015,Monday,2,8,13,695,680,682
EV,ATL,TLH,23-03-2015,Monday,-2,3,17,695,680,678
AA,CLT,IAH,24-07-2015,Friday,15,5,18,1253,1220,1235
DL,SLC,SNA,26-09-2015,Saturday,0,4,15,700,685,685
WN,MDW,MCO,24-05-2015,Sunday,1,5,18,1089,1070,1071
AA,BNA,CLT,31-08-2015,Monday,-10,15,8,1023,1025,1015
US,PHX,MKE,06-06-2015,Saturday,-6,4,23,632,615,609
UA,SFO,HNL,04-11-2015,Wednesday,32,6,18,1175,1125,1157
EV,MSP,EWR,15-06-2015,Monday,-3,6,12,654,645,642
DL,ATL,AVL,01-08-2015,Saturday,-4,3,14,1325,1315,1311
AA,CLT,BUF,30-11-2015,Monday,7,4,17,1364,1340,1347
EV,IAH,OKC,20-06-2015,Saturday,-2,6,17,930,915,913
B6,SJU,MCO,18-08-2015,Tuesday,5,11,10,841,826,831
NK,ACY,MCO,26-09-2015,Saturday,-5,15,10,515,510,505
AA,JFK,CLT,28-07-2015,Tuesday,8,9,28,656,620,628
US,CLT,PHL,30-06-2015,Tuesday,-1,13,19,798,780,779
AA,CLT,FLL,25-09-2015,Friday,13,4,19,742,710,723
US,PHX,TPA,07-02-2015,Saturday,1,5,10,971,960,961
DL,XNA,ATL,21-04-2015,Tuesday,-1,6,11,370,360,359
EV,IAH,OMA,07-06-2015,Sunday,2,12,17,704,685,687
UA,BOS,DEN,18-12-2015,Friday,14,7,12,636,610,624
EV,BTR,DFW,01-01-2015,Thursday,-3,12,10,1082,1075,1072
AA,DCA,LGA,12-12-2015,Saturday,15,6,18,633,600,615
AS,OAK,HNL,17-06-2015,Wednesday,-9,6,11,557,555,546
DL,MSY,ATL,10-01-2015,Saturday,2,6,9,681,670,672
WN,DEN,SLC,13-07-2015,Monday,-2,4,12,515,505,503
HA,SMF,HNL,04-11-2015,Wednesday,5,11,13,473,455,460
DL,ATL,DFW,24-03-2015,Tuesday,1,9,9,540,530,531
EV,DEN,BIL,12-04-2015,Sunday,-7,5,20,693,680,673
EV,IAH,BRO,27-01-2015,Tuesday,-6,5,13,888,881,875
UA,CLE,SFO,16-04-2015,Thursday,0,4,11,408,397,397
AA,LGA,DFW,19-11-2015,Thursday,103,7,49,1332,1180,1283
DL,DTW,SLC,03-12-2015,Thursday,0,5,28,548,520,520
US,JFK,CLT,03-04-2015,Friday,-2,6,14,731,719,717
OO,DAY,MSP,04-01-2015,Sunday,44,13,17,1121,1060,1104
DL,ATL,RDU,21-06-2015,Sunday,-1,4,18,622,605,604
DL,ATL,DFW,15-11-2015,Sunday,1,52,18,1165,1146,1147
AA,MIA,STT,15-04-2015,Wednesday,-8,4,11,743,740,732
WN,ICT,DAL,18-12-2015,Friday,-4,3,7,1078,1075,1071
WN,BWI,ALB,30-12-2015,Wednesday,3,4,12,625,610,613
DL,DTW,MKE,20-08-2015,Thursday,-8,3,25,958,941,933
WN,LBB,DAL,08-05-2015,Friday,14,5,9,1003,980,994
WN,LAS,BWI,14-01-2015,Wednesday,-1,3,12,981,970,969
EV,ATL,DHN,08-03-2015,Sunday,-6,2,11,1053,1048,1042
DL,JFK,SFO,30-08-2015,Sunday,-1,7,41,1045,1005,1004
US,CLT,EWR,03-03-2015,Tuesday,17,6,28,509,464,481
MQ,DFW,DRO,01-07-2015,Wednesday,5,5,18,563,540,545
DL,DTW,ATL,15-01-2015,Thursday,9,6,13,914,892,901
DL,MSP,SFO,08-03-2015,Sunday,-2,12,8,711,705,703
EV,MOB,ATL,27-12-2015,Sunday,-2,13,15,448,435,433
AA,MCO,LAX,08-11-2015,Sunday,0,20,16,436,420,420
EV,JAX,IAH,19-06-2015,Friday,-7,7,13,411,405,398
EV,IAH,GSP,23-11-2015,Monday,-2,2,18,1166,1150,1148
WN,PDX,PHX,09-03-2015,Monday,-2,7,11,414,405,403
DL,LAX,SLC,07-08-2015,Friday,-2,16,13,456,445,443
EV,ORD,XNA,30-12-2015,Wednesday,5,7,10,754,739,744
EV,IAH,TUS,01-06-2015,Monday,-7,4,23,571,555,548
MQ,LRD,DFW,08-05-2015,Friday,-5,7,9,476,472,467
UA,LAS,IAH,30-08-2015,Sunday,-3,6,21,932,914,911
EV,ATL,MGM,10-05-2015,Sunday,7,4,13,855,835,842
B6,EWR,FLL,27-12-2015,Sunday,16,6,24,429,389,405
WN,BWI,TPA,12-06-2015,Friday,24,6,12,931,895,919
DL,ATL,TPA,27-08-2015,Thursday,-3,4,11,703,695,692
DL,DEN,SLC,15-12-2015,Tuesday,166,4,135,661,360,526
B6,LAS,SFO,05-12-2015,Saturday,-7,13,11,1184,1180,1173
US,CLT,PIT,14-05-2015,Thursday,-5,5,36,616,585,580
OO,LAX,TUS,20-04-2015,Monday,36,6,11,1237,1190,1226
DL,LAX,ATL,02-06-2015,Tuesday,9,5,16,575,550,559
